state,accountlength,areacode,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls,class,
WV,66.0,415.0, no, no,0.0,239.6,120.0,40.73,230.3,110.0,19.58,153.0,82.0,6.89,8.6,3.0,2.32,1.0, False.,
MN,79.0,510.0, no, no,0.0,121.3,112.0,20.62,282.8,107.0,24.04,123.1,83.0,5.54,7.4,4.0,2.0,1.0, False.,
MI,61.0,408.0, no, no,0.0,208.4,102.0,35.43,326.1,96.0,27.72,201.9,73.0,9.09,10.1,8.0,2.73,1.0, False.,
CO,97.0,510.0, yes, no,0.0,230.6,131.0,39.2,261.3,136.0,22.21,157.1,96.0,7.07,6.8,4.0,1.84,0.0, False.,
HI,63.0,415.0, no, no,0.0,112.5,95.0,19.13,211.2,67.0,17.95,227.5,96.0,10.24,11.1,8.0,3.0,0.0, False.,
VT,77.0,408.0, no, yes,36.0,172.2,88.0,29.27,161.6,112.0,13.74,259.7,115.0,11.69,11.8,4.0,3.19,2.0, False.,
TX,73.0,408.0, no, no,0.0,195.3,97.0,33.2,96.8,89.0,8.23,243.1,84.0,10.94,16.2,13.0,4.37,1.0, False.,
VT,105.0,510.0, no, no,0.0,167.7,93.0,28.51,234.1,103.0,19.9,169.7,121.0,7.64,6.9,5.0,1.86,3.0, False.,
OR,159.0,408.0, no, no,0.0,180.1,103.0,30.62,193.4,148.0,16.44,251.2,109.0,11.3,13.4,5.0,3.62,0.0, False.,
NM,83.0,510.0, no, no,0.0,129.6,81.0,22.03,189.7,117.0,16.12,219.0,118.0,9.86,9.8,4.0,2.65,2.0, False.,
SD,93.0,510.0, no, no,0.0,215.5,108.0,36.64,230.9,70.0,19.63,144.1,134.0,6.48,13.2,4.0,3.56,0.0, False.,
MD,106.0,408.0, no, yes,22.0,218.6,83.0,37.16,244.4,70.0,20.77,132.4,99.0,5.96,9.1,6.0,2.46,1.0, False.,
UT,98.0,415.0, no, no,0.0,211.9,65.0,36.02,224.6,95.0,19.09,233.0,81.0,10.49,9.9,3.0,2.67,2.0, False.,
NJ,163.0,415.0, no, no,0.0,82.0,95.0,13.94,125.2,103.0,10.64,171.3,107.0,7.71,8.0,4.0,2.16,1.0, False.,
MA,169.0,408.0, no, yes,22.0,149.1,103.0,25.35,207.2,91.0,17.61,265.4,92.0,11.94,11.4,7.0,3.08,2.0, False.,
NV,111.0,415.0, no, no,0.0,304.6,56.0,51.78,157.6,101.0,13.4,188.2,116.0,8.47,12.4,1.0,3.35,1.0, False.,
TN,163.0,510.0, no, no,0.0,277.7,118.0,47.21,115.3,91.0,9.8,170.3,90.0,7.66,10.4,8.0,2.81,0.0, False.,
ME,57.0,510.0, no, no,0.0,155.2,99.0,26.38,214.1,98.0,18.2,241.0,64.0,10.85,7.5,7.0,2.03,1.0, False.,
AL,117.0,415.0, no, no,0.0,198.5,75.0,33.75,179.8,92.0,15.28,234.1,119.0,10.53,10.6,6.0,2.86,0.0, False.,
LA,85.0,408.0, no, no,0.0,209.1,57.0,35.55,110.7,111.0,9.41,113.3,113.0,5.1,12.8,4.0,3.46,1.0, False.,
AL,132.0,415.0, no, no,0.0,200.0,104.0,34.0,149.6,101.0,12.72,137.1,110.0,6.17,18.9,2.0,5.1,1.0, False.,
FL,190.0,415.0, no, no,0.0,196.1,95.0,33.34,228.3,88.0,19.41,243.6,95.0,10.96,7.6,3.0,2.05,3.0, False.,
FL,39.0,510.0, no, no,0.0,121.6,99.0,20.67,267.6,99.0,22.75,99.7,88.0,4.49,7.1,2.0,1.92,1.0, False.,
SC,84.0,415.0, no, no,0.0,204.1,132.0,34.7,164.4,117.0,13.97,165.1,123.0,7.43,0.0,0.0,0.0,1.0, False.,
ID,71.0,415.0, no, no,0.0,212.1,114.0,36.06,235.9,91.0,20.05,207.7,135.0,9.35,11.3,5.0,3.05,4.0, False.,
WY,114.0,415.0, no, no,0.0,178.3,86.0,30.31,176.5,99.0,15.0,187.1,83.0,8.42,13.8,2.0,3.73,1.0, False.,
NE,135.0,415.0, no, no,0.0,181.8,92.0,30.91,159.6,63.0,13.57,232.4,78.0,10.46,7.0,6.0,1.89,0.0, False.,
CO,93.0,415.0, no, no,0.0,120.6,104.0,20.5,205.5,95.0,17.47,182.5,107.0,8.21,9.6,6.0,2.59,2.0, False.,
VA,82.0,415.0, no, no,0.0,172.4,112.0,29.31,131.7,89.0,11.19,182.8,78.0,8.23,8.8,9.0,2.38,1.0, False.,
WV,64.0,415.0, no, no,0.0,160.6,110.0,27.3,171.9,97.0,14.61,105.2,56.0,4.73,7.3,2.0,1.97,0.0, False.,
AZ,76.0,408.0, no, yes,12.0,98.4,100.0,16.73,187.5,119.0,15.94,177.0,68.0,7.97,15.1,3.0,4.08,1.0, False.,
KS,112.0,415.0, no, no,0.0,109.0,126.0,18.53,212.7,106.0,18.08,208.3,92.0,9.37,7.9,3.0,2.13,1.0, False.,
NJ,113.0,408.0, yes, no,0.0,122.4,98.0,20.81,223.8,116.0,19.02,267.5,148.0,12.04,11.6,5.0,3.13,3.0, False.,
SD,137.0,415.0, no, no,0.0,144.5,119.0,24.57,167.3,89.0,14.22,175.1,76.0,7.88,6.1,4.0,1.65,5.0, False.,
ND,128.0,408.0, no, no,0.0,102.5,87.0,17.43,177.2,97.0,15.06,226.0,119.0,10.17,8.7,5.0,2.35,1.0, False.,
SC,84.0,415.0, no, no,0.0,274.1,119.0,46.6,144.1,123.0,12.25,268.2,100.0,12.07,9.9,5.0,2.67,2.0, False.,
ID,140.0,510.0, no, no,0.0,193.1,82.0,32.83,260.3,107.0,22.13,241.3,93.0,10.86,13.3,5.0,3.59,2.0, False.,
TX,106.0,415.0, no, no,0.0,182.8,96.0,31.08,193.7,93.0,16.46,219.5,113.0,9.88,7.7,2.0,2.08,2.0, False.,
SD,166.0,510.0, no, yes,32.0,148.4,86.0,25.23,170.6,119.0,14.5,201.5,124.0,9.07,11.3,12.0,3.05,1.0, False.,
TN,137.0,408.0, no, no,0.0,75.8,107.0,12.89,256.9,98.0,21.84,204.4,118.0,9.2,10.5,3.0,2.84,2.0, False.,
TN,161.0,415.0, no, no,0.0,198.0,90.0,33.66,186.4,102.0,15.84,219.2,90.0,9.86,9.3,2.0,2.51,1.0, False.,
DE,120.0,415.0, no, no,0.0,253.2,95.0,43.04,210.8,86.0,17.92,253.9,81.0,11.43,9.5,4.0,2.57,5.0, False.,
TN,187.0,510.0, no, yes,25.0,199.9,64.0,33.98,134.6,110.0,11.44,210.4,78.0,9.47,11.7,6.0,3.16,3.0, False.,
OR,102.0,415.0, no, yes,25.0,187.5,105.0,31.88,272.3,88.0,23.15,216.4,91.0,9.74,11.7,2.0,3.16,2.0, False.,
IA,82.0,408.0, no, no,0.0,183.6,111.0,31.21,303.5,88.0,25.8,189.8,115.0,8.54,10.3,6.0,2.78,0.0, False.,
MI,100.0,510.0, no, yes,21.0,86.1,95.0,14.64,189.9,126.0,16.14,201.3,113.0,9.06,11.7,4.0,3.16,0.0, False.,
AR,45.0,408.0, no, no,0.0,126.8,83.0,21.56,157.8,100.0,13.41,158.3,97.0,7.12,11.0,4.0,2.97,3.0, False.,
TN,114.0,415.0, no, no,0.0,108.3,95.0,18.41,168.3,104.0,14.31,153.1,109.0,6.89,9.1,2.0,2.46,1.0, False.,
WV,43.0,408.0, yes, no,0.0,160.5,92.0,27.29,235.8,121.0,20.04,111.8,95.0,5.03,13.8,5.0,3.73,1.0, False.,
IL,103.0,408.0, no, no,0.0,147.3,81.0,25.04,158.4,88.0,13.46,193.8,103.0,8.72,11.0,3.0,2.97,2.0, False.,
DE,57.0,510.0, no, no,0.0,165.1,91.0,28.07,240.8,56.0,20.47,277.0,100.0,12.47,9.5,3.0,2.57,2.0, False.,
NC,52.0,408.0, no, yes,31.0,122.2,88.0,20.77,139.0,100.0,11.82,141.9,141.0,6.39,5.7,10.0,1.54,3.0, False.,
IA,74.0,408.0, no, no,0.0,156.3,102.0,26.57,273.1,118.0,23.21,215.8,113.0,9.71,9.0,4.0,2.43,3.0, False.,
AL,74.0,408.0, no, yes,46.0,277.7,109.0,47.21,270.0,114.0,22.95,165.3,82.0,7.44,10.4,2.0,2.81,1.0, False.,
HI,40.0,415.0, yes, yes,21.0,147.4,117.0,25.06,262.8,110.0,22.34,202.0,97.0,9.09,10.9,5.0,2.94,0.0, False.,
PA,83.0,415.0, no, no,0.0,228.4,113.0,38.83,163.3,103.0,13.88,248.0,114.0,11.16,7.8,6.0,2.11,1.0, False.,
RI,102.0,510.0, no, no,0.0,184.6,133.0,31.38,166.8,94.0,14.18,225.2,105.0,10.13,6.8,8.0,1.84,1.0, False.,
LA,92.0,510.0, no, no,0.0,87.6,89.0,14.89,172.3,133.0,14.65,153.4,88.0,6.9,8.0,4.0,2.16,1.0, False.,
DC,79.0,408.0, no, yes,25.0,219.0,95.0,37.23,241.9,95.0,20.56,203.4,102.0,9.15,5.6,5.0,1.51,4.0, False.,
TN,110.0,510.0, no, no,0.0,220.9,100.0,37.55,279.6,76.0,23.77,239.8,107.0,10.79,13.5,9.0,3.65,1.0, False.,
AL,69.0,408.0, no, yes,27.0,188.4,104.0,32.03,320.6,128.0,27.25,161.7,120.0,7.28,9.7,7.0,2.62,1.0, False.,
IN,56.0,510.0, no, no,0.0,254.8,83.0,43.32,194.0,98.0,16.49,186.2,118.0,8.38,13.5,2.0,3.65,4.0, False.,
UT,133.0,510.0, no, no,0.0,338.4,86.0,57.53,234.6,97.0,19.94,264.8,139.0,11.92,14.8,4.0,4.0,3.0, True.,
FL,119.0,415.0, no, yes,37.0,168.2,81.0,28.59,283.3,105.0,24.08,243.8,136.0,10.97,10.7,3.0,2.89,1.0, False.,
VA,131.0,415.0, no, no,0.0,143.1,114.0,24.33,138.1,119.0,11.74,199.4,100.0,8.97,8.9,3.0,2.4,3.0, False.,
CT,60.0,415.0, no, yes,20.0,118.3,113.0,20.11,253.8,97.0,21.57,172.8,78.0,7.78,9.4,4.0,2.54,1.0, False.,
NC,118.0,415.0, no, no,0.0,256.5,115.0,43.61,135.3,79.0,11.5,208.3,131.0,9.37,7.5,5.0,2.03,0.0, False.,
PA,92.0,510.0, no, no,0.0,185.9,111.0,31.6,216.8,93.0,18.43,231.0,58.0,10.4,8.5,2.0,2.3,1.0, False.,
MI,52.0,510.0, no, no,0.0,219.0,100.0,37.23,148.9,110.0,12.66,151.8,129.0,6.83,11.9,8.0,3.21,3.0, False.,
NC,135.0,510.0, no, yes,18.0,180.1,90.0,30.62,152.5,65.0,12.96,258.2,85.0,11.62,12.7,9.0,3.43,1.0, False.,
GA,107.0,408.0, no, no,0.0,114.9,119.0,19.53,239.7,91.0,20.37,165.3,112.0,7.44,12.6,5.0,3.4,2.0, False.,
PA,110.0,510.0, no, no,0.0,158.6,97.0,26.96,204.4,123.0,17.37,182.5,123.0,8.21,11.3,3.0,3.05,2.0, False.,
DE,109.0,415.0, yes, yes,36.0,244.2,147.0,41.51,199.7,65.0,16.97,144.4,109.0,6.5,15.4,3.0,4.16,2.0, False.,
NY,90.0,415.0, no, no,0.0,180.0,58.0,30.6,229.4,88.0,19.5,162.2,110.0,7.3,13.2,9.0,3.56,1.0, False.,
MA,117.0,408.0, no, no,0.0,240.2,110.0,40.83,187.9,65.0,15.97,152.7,102.0,6.87,7.0,19.0,1.89,3.0, False.,
MT,57.0,415.0, no, no,0.0,234.4,120.0,39.85,155.3,120.0,13.2,130.5,103.0,5.87,9.4,4.0,2.54,1.0, False.,
NE,115.0,415.0, no, no,0.0,135.4,104.0,23.02,138.8,91.0,11.8,208.5,92.0,9.38,5.4,3.0,1.46,1.0, False.,
ME,73.0,408.0, no, no,0.0,272.4,112.0,46.31,252.2,91.0,21.44,255.4,112.0,11.49,10.9,5.0,2.94,1.0, False.,
NJ,127.0,510.0, no, no,0.0,262.9,95.0,44.69,175.9,126.0,14.95,202.1,101.0,9.09,7.5,5.0,2.03,1.0, False.,
DE,79.0,415.0, no, no,0.0,66.7,124.0,11.34,204.0,91.0,17.34,254.7,110.0,11.46,15.1,2.0,4.08,1.0, False.,
VT,33.0,408.0, no, yes,33.0,221.4,110.0,37.64,276.1,86.0,23.47,222.9,102.0,10.03,10.1,4.0,2.73,1.0, False.,
NC,110.0,415.0, yes, no,0.0,135.1,99.0,22.97,227.3,123.0,19.32,176.0,110.0,7.92,13.2,4.0,3.56,1.0, False.,
CT,133.0,408.0, no, no,0.0,240.8,72.0,40.94,202.7,62.0,17.23,212.9,76.0,9.58,7.7,5.0,2.08,1.0, False.,
NH,145.0,415.0, no, no,0.0,170.5,101.0,28.99,206.5,112.0,17.55,194.3,106.0,8.74,9.8,1.0,2.65,3.0, False.,
KY,47.0,415.0, no, yes,40.0,158.3,90.0,26.91,213.2,71.0,18.12,123.0,132.0,5.54,14.0,2.0,3.78,2.0, False.,
CO,53.0,510.0, no, yes,24.0,201.7,87.0,34.29,251.7,97.0,21.39,297.4,95.0,13.38,7.9,5.0,2.13,0.0, False.,
NH,148.0,510.0, no, no,0.0,168.8,102.0,28.7,248.1,125.0,21.09,250.7,96.0,11.28,10.6,4.0,2.86,1.0, False.,
MA,72.0,415.0, no, no,0.0,141.9,98.0,24.12,188.1,63.0,15.99,115.2,49.0,5.18,12.0,5.0,3.24,2.0, False.,
LA,96.0,510.0, no, no,0.0,182.6,75.0,31.04,188.6,67.0,16.03,137.7,81.0,6.2,9.5,3.0,2.57,5.0, False.,
WV,113.0,510.0, no, yes,28.0,264.4,93.0,44.95,222.8,79.0,18.94,213.7,88.0,9.62,10.0,4.0,2.7,1.0, False.,
IL,55.0,415.0, no, no,0.0,203.7,80.0,34.63,230.2,112.0,19.57,120.3,48.0,5.41,9.4,1.0,2.54,3.0, False.,
MI,143.0,415.0, no, no,0.0,191.6,53.0,32.57,104.6,104.0,8.89,195.8,125.0,8.81,10.7,9.0,2.89,3.0, False.,
IN,60.0,415.0, no, no,0.0,136.4,147.0,23.19,219.9,101.0,18.69,99.7,73.0,4.49,7.0,3.0,1.89,0.0, False.,
CO,90.0,415.0, no, yes,30.0,168.2,103.0,28.59,220.9,75.0,18.78,224.3,105.0,10.09,8.2,2.0,2.21,0.0, False.,
DC,170.0,408.0, no, yes,34.0,125.3,128.0,21.3,240.6,104.0,20.45,243.4,109.0,10.95,7.0,3.0,1.89,3.0, False.,
TX,65.0,415.0, no, no,0.0,217.9,89.0,37.04,238.8,101.0,20.3,194.4,105.0,8.75,6.6,4.0,1.78,0.0, False.,
IA,93.0,408.0, no, no,0.0,198.1,93.0,33.68,236.1,95.0,20.07,127.3,121.0,5.73,12.6,4.0,3.4,2.0, False.,
UT,117.0,408.0, yes, yes,15.0,178.8,81.0,30.4,286.1,85.0,24.32,229.4,128.0,10.32,7.1,5.0,1.92,1.0, False.,
AL,96.0,415.0, no, yes,18.0,262.9,57.0,44.69,190.2,107.0,16.17,293.5,103.0,13.21,11.8,4.0,3.19,3.0, False.,
CT,101.0,415.0, no, no,0.0,164.6,85.0,27.98,204.9,72.0,17.42,136.4,104.0,6.14,11.5,5.0,3.11,0.0, False.,
NV,60.0,415.0, no, no,0.0,197.0,130.0,33.49,219.2,105.0,18.63,102.8,113.0,4.63,12.6,4.0,3.4,1.0, False.,
IA,157.0,510.0, no, no,0.0,102.9,94.0,17.49,229.1,96.0,19.47,198.7,129.0,8.94,13.6,2.0,3.67,1.0, False.,
UT,89.0,408.0, no, no,0.0,144.2,74.0,24.51,164.7,119.0,14.0,279.2,121.0,12.56,12.1,7.0,3.27,4.0, False.,
GA,96.0,408.0, no, yes,26.0,126.5,108.0,21.51,123.8,114.0,10.52,308.5,98.0,13.88,13.1,6.0,3.54,2.0, False.,
PA,91.0,415.0, no, no,0.0,139.8,109.0,23.77,157.0,91.0,13.35,218.6,122.0,9.84,13.6,4.0,3.67,3.0, False.,
VA,104.0,415.0, no, no,0.0,139.7,112.0,23.75,199.8,127.0,16.98,189.3,104.0,8.52,10.3,2.0,2.78,2.0, False.,
SC,40.0,415.0, no, no,0.0,309.4,86.0,52.6,271.3,98.0,23.06,197.1,116.0,8.87,11.2,5.0,3.02,3.0, False.,
WV,161.0,415.0, no, no,0.0,159.6,102.0,27.13,212.6,119.0,18.07,151.4,83.0,6.81,12.6,7.0,3.4,5.0, False.,
KY,131.0,408.0, no, yes,29.0,239.7,102.0,40.75,212.8,109.0,18.09,187.7,77.0,8.45,10.5,2.0,2.84,1.0, False.,
KS,131.0,510.0, no, no,0.0,195.6,93.0,33.25,245.0,100.0,20.83,104.7,97.0,4.71,13.2,6.0,3.56,2.0, False.,
DC,79.0,510.0, no, no,0.0,161.1,110.0,27.39,170.6,111.0,14.5,274.4,80.0,12.35,7.6,2.0,2.05,2.0, False.,
AZ,130.0,510.0, no, yes,22.0,173.9,90.0,29.56,234.8,86.0,19.96,121.8,79.0,5.48,8.4,5.0,2.27,1.0, False.,
HI,161.0,408.0, no, no,0.0,165.4,88.0,28.12,209.7,111.0,17.82,270.7,129.0,12.18,10.5,3.0,2.84,4.0, False.,
MS,108.0,415.0, no, yes,28.0,221.3,117.0,37.62,156.0,102.0,13.26,159.3,80.0,7.17,8.7,3.0,2.35,0.0, False.,
WV,69.0,415.0, yes, no,0.0,176.8,89.0,30.06,196.0,89.0,16.66,232.6,151.0,10.47,13.1,5.0,3.54,1.0, False.,
NC,80.0,408.0, no, no,0.0,196.0,75.0,33.32,237.8,112.0,20.21,220.1,127.0,9.9,13.9,5.0,3.75,1.0, False.,
ME,146.0,415.0, no, no,0.0,174.3,113.0,29.63,200.7,107.0,17.06,281.2,145.0,12.65,11.6,3.0,3.13,4.0, False.,
NJ,143.0,408.0, yes, no,0.0,186.9,98.0,31.77,196.5,110.0,16.7,215.3,104.0,9.69,12.3,3.0,3.32,4.0, False.,
WA,114.0,510.0, yes, no,0.0,115.6,93.0,19.65,163.2,78.0,13.87,251.3,104.0,11.31,9.7,1.0,2.62,2.0, False.,
WY,113.0,408.0, no, no,0.0,158.4,107.0,26.93,142.2,104.0,12.09,174.7,108.0,7.86,14.9,2.0,4.02,0.0, False.,
ME,29.0,415.0, no, yes,38.0,149.4,93.0,25.4,189.8,96.0,16.13,127.4,71.0,5.73,6.0,3.0,1.62,1.0, False.,
MS,57.0,415.0, no, yes,36.0,244.5,94.0,41.57,161.2,113.0,13.7,184.3,105.0,8.29,9.7,3.0,2.62,1.0, False.,
KY,78.0,415.0, no, no,0.0,145.5,124.0,24.74,143.4,71.0,12.19,291.1,123.0,13.1,9.5,5.0,2.57,3.0, False.,
GA,120.0,510.0, no, no,0.0,147.7,101.0,25.11,144.1,71.0,12.25,237.0,115.0,10.67,11.1,5.0,3.0,0.0, False.,
AL,97.0,415.0, no, no,0.0,164.3,106.0,27.93,182.3,97.0,15.5,183.9,93.0,8.28,12.1,2.0,3.27,1.0, False.,
IN,185.0,415.0, no, no,0.0,89.4,77.0,15.2,288.9,128.0,24.56,162.9,93.0,7.33,10.4,2.0,2.81,3.0, False.,
AK,144.0,415.0, no, yes,38.0,276.3,149.0,46.97,252.0,112.0,21.42,132.5,85.0,5.96,8.7,3.0,2.35,1.0, False.,
AR,97.0,510.0, no, yes,32.0,172.7,79.0,29.36,217.4,101.0,18.48,260.7,88.0,11.73,11.7,5.0,3.16,1.0, False.,
VA,130.0,415.0, no, no,0.0,138.7,68.0,23.58,205.6,102.0,17.48,231.2,108.0,10.4,13.6,3.0,3.67,2.0, False.,
DC,59.0,415.0, no, yes,26.0,205.4,68.0,34.92,115.0,115.0,9.78,214.7,130.0,9.66,9.4,2.0,2.54,5.0, False.,
ID,139.0,408.0, no, no,0.0,187.4,86.0,31.86,169.3,116.0,14.39,153.4,88.0,6.9,11.7,3.0,3.16,1.0, False.,
DE,12.0,415.0, no, no,0.0,206.1,105.0,35.04,246.6,104.0,20.96,254.6,83.0,11.46,12.1,7.0,3.27,2.0, False.,
MN,42.0,408.0, no, yes,34.0,131.5,143.0,22.36,185.3,109.0,15.75,177.3,117.0,7.98,10.9,5.0,2.94,0.0, False.,
WY,63.0,415.0, no, no,0.0,120.1,103.0,20.42,179.2,132.0,15.23,127.3,82.0,5.73,6.3,4.0,1.7,1.0, False.,
